"","Post_Ques","Post_Ans","Average_Severity"
"12136","oklahoma is now officially experiencing earthquakes  as a new fault line has formed we are also seeing more floods and larger tornadoes is your state experiencing worsening weather","not really but some parts of wyoming is flooding",0
"12137","omg im actually very annoyed  i need sneeze but its not coming d does that ever happen to youu","all the time",0
"12138","on average  how much do you switch positions during sex"," or more",0
"12139","once a month  men should be able to feel what its like to bleed from the genitals agree","no  ",0
"12140","once youre in heaven  do you get stuck wearing the clothes you were buried in for eternity  read more httpwwwfunenclavecomfunstuffintelligentquestionshtmlixzztjmscecf","really  who cares  i would be in heaven and drinking beer without getting stupid so i dont care what i would be wearing",0
"12141","one memorable quote you remember from a song i remember bruises fade father but the pain remains the same form the song im okay","keep your drink  just give me the money  pink  u and ur hand",0
"12142","one moment you wish you could replay","too many to count  lol",0
"12143","only english native people how does spanish sound to you","i am not sure what youre asking if you mean only english speaking people in america  then no we have freedom of speech here",0
"12144","oooops didnt mean to ask if you had any pets p i already know that p","lol",0
"12145","ouchiesss i just bit my tongue  i wonder how many of you evil lot will laugh  probs most of you","lol",0
"12146","our weather was  this morning","hot   ",0
"12147","overall  do you think your parents raised you well why do you think stricter parents children are raised better than a lineant parents children are when youre a parent  how will you raise your kids explain","they tryed i turned out to be an outlaw anyways lol",0
"12148","p diddy bought a   car for son if you were rich  would you give your children everything and spoil them  or would you still try to make them work for it and earn it  and try to teach them the value of a dollar why or why not","make them work for most things but spoil them on holidays like their b day",0
